time_us,node,port,throughput_gbps,utilization_pct
0.083,0,1,101.01204819277109,100.0
0.166,0,1,101.01204819277109,100.0
0.249,0,1,101.01204819277109,100.0
0.332,0,1,101.01204819277109,100.0
0.415,0,1,101.01204819277109,100.0
0.498,0,1,101.01204819277109,100.0
0.581,0,1,101.01204819277109,100.0
0.664,0,1,101.01204819277109,100.0
0.747,0,1,101.01204819277109,100.0
0.83,0,1,101.01204819277109,100.0
0.913,0,1,101.01204819277109,100.0
0.996,0,1,101.01204819277109,100.0
1.079,0,1,101.01204819277109,100.0
1.162,0,1,101.01204819277109,100.0
1.245,0,1,101.01204819277109,100.0
1.328,0,1,101.01204819277109,100.0
1.411,0,1,101.01204819277109,100.0
1.494,0,1,101.01204819277109,100.0
1.577,0,1,101.01204819277109,100.0
1.66,0,1,101.01204819277109,100.0
1.743,0,1,101.01204819277109,100.0
1.826,0,1,101.01204819277109,100.0
1.909,0,1,101.01204819277109,100.0
1.992,0,1,101.01204819277109,100.0
2.075,0,1,101.01204819277109,100.0
2.158,0,1,101.01204819277109,100.0
2.241,0,1,101.01204819277109,100.0
2.324,0,1,101.01204819277109,100.0
2.407,0,1,101.01204819277109,100.0
2.49,0,1,101.01204819277109,100.0
2.573,0,1,101.01204819277109,100.0
2.656,0,1,101.01204819277109,100.0
2.739,0,1,101.01204819277109,100.0
2.822,0,1,101.01204819277109,100.0
2.905,0,1,101.01204819277109,100.0
2.988,0,1,101.01204819277109,100.0
3.071,0,1,101.01204819277109,100.0
3.154,0,1,101.01204819277109,100.0
3.237,0,1,101.01204819277109,100.0
3.32,0,1,101.01204819277109,100.0
3.403,0,1,101.01204819277109,100.0
3.486,0,1,101.01204819277109,100.0
3.569,0,1,101.01204819277109,100.0
3.652,0,1,101.01204819277109,100.0
3.735,0,1,101.01204819277109,100.0
3.818,0,1,101.01204819277109,100.0
3.901,0,1,101.01204819277109,100.0
3.984,0,1,101.01204819277109,100.0
4.067,0,1,101.01204819277109,100.0
4.15,0,1,101.01204819277109,100.0
4.233,0,1,101.01204819277109,100.0
4.316,0,1,101.01204819277109,100.0
4.399,0,1,101.01204819277109,100.0
4.482,0,1,101.01204819277109,100.0
4.565,0,1,101.01204819277109,100.0
4.648,0,1,101.01204819277109,100.0
4.731,0,1,101.01204819277109,100.0
4.814,0,1,101.01204819277109,100.0
4.897,0,1,101.01204819277109,100.0
4.98,0,1,101.01204819277109,100.0
5.063,0,1,101.01204819277109,100.0
5.146,0,1,101.01204819277109,100.0
5.229,0,1,101.01204819277109,100.0
5.312,0,1,101.01204819277109,100.0
5.395,0,1,101.01204819277109,100.0
5.478,0,1,101.01204819277109,100.0
5.561,0,1,101.01204819277109,100.0
5.644,0,1,101.01204819277109,100.0
5.727,0,1,101.01204819277109,100.0
5.81,0,1,101.01204819277109,100.0
5.893,0,1,101.01204819277109,100.0
5.976,0,1,101.01204819277109,100.0
6.059,0,1,101.01204819277109,100.0
6.142,0,1,101.01204819277109,100.0
6.225,0,1,101.01204819277109,100.0
6.308,0,1,101.01204819277109,100.0
6.391,0,1,101.01204819277109,100.0
6.474,0,1,101.01204819277109,100.0
6.557,0,1,101.01204819277109,100.0
6.64,0,1,101.01204819277109,100.0
6.723,0,1,101.01204819277109,100.0
6.806,0,1,101.01204819277109,100.0
6.889,0,1,101.01204819277109,100.0
6.972,0,1,101.01204819277109,100.0
7.055,0,1,101.01204819277109,100.0
7.138,0,1,101.01204819277109,100.0
7.221,0,1,101.01204819277109,100.0
7.304,0,1,101.01204819277109,100.0
7.387,0,1,101.01204819277109,100.0
7.47,0,1,101.01204819277109,100.0
7.553,0,1,101.01204819277109,100.0
7.636,0,1,101.01204819277109,100.0
7.719,0,1,101.01204819277109,100.0
7.802,0,1,101.01204819277109,100.0
7.885,0,1,101.01204819277109,100.0
7.968,0,1,101.01204819277109,100.0
8.051,0,1,101.01204819277109,100.0
8.134,0,1,101.01204819277109,100.0
8.217,0,1,101.01204819277109,100.0
8.3,0,1,101.01204819277109,100.0
8.383,0,1,101.01204819277109,100.0
8.466,0,1,101.01204819277109,100.0
8.549,0,1,101.01204819277109,100.0
8.632,0,1,101.01204819277109,100.0
8.715,0,1,101.01204819277109,100.0
8.798,0,1,101.01204819277109,100.0
8.881,0,1,101.01204819277109,100.0
8.964,0,1,101.01204819277109,100.0
9.047,0,1,101.01204819277109,100.0
9.13,0,1,101.01204819277109,100.0
9.213,0,1,101.01204819277109,100.0
9.296,0,1,101.01204819277109,100.0
9.379,0,1,101.01204819277109,100.0
9.462,0,1,101.01204819277109,100.0
9.545,0,1,101.01204819277109,100.0
9.628,0,1,101.01204819277109,100.0
9.711,0,1,101.01204819277109,100.0
9.794,0,1,101.01204819277109,100.0
9.877,0,1,101.01204819277109,100.0
9.96,0,1,101.01204819277109,100.0
10.043,0,1,101.01204819277109,100.0
10.126,0,1,101.01204819277109,100.0
10.209,0,1,101.01204819277109,100.0
10.292,0,1,101.01204819277109,100.0
10.375,0,1,101.01204819277109,100.0
10.458,0,1,101.01204819277109,100.0
10.541,0,1,101.01204819277109,100.0
10.624,0,1,101.01204819277109,100.0
10.707,0,1,101.01204819277109,100.0
10.79,0,1,101.01204819277109,100.0
10.873,0,1,101.01204819277109,100.0
10.956,0,1,101.01204819277109,100.0
11.039,0,1,101.01204819277109,100.0
11.122,0,1,101.01204819277109,100.0
11.205,0,1,101.01204819277109,100.0
11.288,0,1,101.01204819277109,100.0
11.371,0,1,101.01204819277109,100.0
11.454,0,1,101.01204819277109,100.0
11.537,0,1,101.01204819277109,100.0
11.62,0,1,101.01204819277109,100.0
11.703,0,1,101.01204819277109,100.0
11.786,0,1,101.01204819277109,100.0
11.869,0,1,101.01204819277109,100.0
11.952,0,1,101.01204819277109,100.0
12.035,0,1,101.01204819277109,100.0
12.118,0,1,101.01204819277109,100.0
12.201,0,1,101.01204819277109,100.0
12.284,0,1,101.01204819277109,100.0
12.367,0,1,101.01204819277109,100.0
12.45,0,1,101.01204819277109,100.0
12.533,0,1,101.01204819277109,100.0
12.616,0,1,101.01204819277109,100.0
12.699,0,1,101.01204819277109,100.0
12.782,0,1,101.01204819277109,100.0
12.865,0,1,101.01204819277109,100.0
12.948,0,1,101.01204819277109,100.0
13.031,0,1,101.01204819277109,100.0
13.114,0,1,101.01204819277109,100.0
13.197,0,1,101.01204819277109,100.0
13.28,0,1,101.01204819277109,100.0
13.363,0,1,101.01204819277109,100.0
13.446,0,1,101.01204819277109,100.0
13.529,0,1,101.01204819277109,100.0
13.612,0,1,101.01204819277109,100.0
13.695,0,1,101.01204819277109,100.0
13.778,0,1,101.01204819277109,100.0
13.861,0,1,101.01204819277109,100.0
13.944,0,1,101.01204819277109,100.0
14.027,0,1,101.01204819277109,100.0
14.11,0,1,101.01204819277109,100.0
14.193,0,1,101.01204819277109,100.0
14.276,0,1,101.01204819277109,100.0
14.359,0,1,101.01204819277109,100.0
14.442,0,1,101.01204819277109,100.0
14.525,0,1,101.01204819277109,100.0
14.608,0,1,101.01204819277109,100.0
14.691,0,1,101.01204819277109,100.0
14.774,0,1,101.01204819277109,100.0
14.857,0,1,101.01204819277109,100.0
14.94,0,1,101.01204819277109,100.0
15.023,0,1,101.01204819277109,100.0
15.106,0,1,101.01204819277109,100.0
15.189,0,1,101.01204819277109,100.0
15.272,0,1,101.01204819277109,100.0
15.355,0,1,101.01204819277109,100.0
15.438,0,1,101.01204819277109,100.0
15.521,0,1,101.01204819277109,100.0
15.604,0,1,101.01204819277109,100.0
15.687,0,1,101.01204819277109,100.0
15.77,0,1,101.01204819277109,100.0
15.853,0,1,101.01204819277109,100.0
15.936,0,1,101.01204819277109,100.0
16.019,0,1,101.01204819277109,100.0
16.102,0,1,101.01204819277109,100.0
16.185,0,1,101.01204819277109,100.0
16.268,0,1,101.01204819277109,100.0
16.351,0,1,101.01204819277109,100.0
16.434,0,1,101.01204819277109,100.0
16.517,0,1,101.01204819277109,100.0
16.6,0,1,101.01204819277109,100.0
16.683,0,1,101.01204819277109,100.0
16.766,0,1,101.01204819277109,100.0
16.849,0,1,101.01204819277109,100.0
16.932,0,1,101.01204819277109,100.0
17.015,0,1,101.01204819277109,100.0
17.098,0,1,101.01204819277109,100.0
17.181,0,1,101.01204819277109,100.0
17.264,0,1,101.01204819277109,100.0
17.347,0,1,101.01204819277109,100.0
17.43,0,1,101.01204819277109,100.0
17.513,0,1,101.01204819277109,100.0
17.596,0,1,101.01204819277109,100.0
17.679,0,1,101.01204819277109,100.0
17.762,0,1,101.01204819277109,100.0
17.845,0,1,101.01204819277109,100.0
17.928,0,1,101.01204819277109,100.0
18.011,0,1,101.01204819277109,100.0
18.094,0,1,101.01204819277109,100.0
18.177,0,1,101.01204819277109,100.0
18.26,0,1,101.01204819277109,100.0
18.343,0,1,101.01204819277109,100.0
18.426,0,1,101.01204819277109,100.0
18.509,0,1,101.01204819277109,100.0
18.592,0,1,101.01204819277109,100.0
18.675,0,1,101.01204819277109,100.0
18.758,0,1,101.01204819277109,100.0
18.841,0,1,101.01204819277109,100.0
18.924,0,1,101.01204819277109,100.0
19.007,0,1,101.01204819277109,100.0
19.09,0,1,101.01204819277109,100.0
19.173,0,1,101.01204819277109,100.0
19.256,0,1,101.01204819277109,100.0
19.339,0,1,101.01204819277109,100.0
19.422,0,1,101.01204819277109,100.0
19.505,0,1,101.01204819277109,100.0
19.588,0,1,101.01204819277109,100.0
19.671,0,1,101.01204819277109,100.0
19.754,0,1,101.01204819277109,100.0
19.837,0,1,101.01204819277109,100.0
19.92,0,1,101.01204819277109,100.0
20.003,0,1,101.01204819277109,100.0
20.086,0,1,101.01204819277109,100.0
20.169,0,1,101.01204819277109,100.0
20.252,0,1,101.01204819277109,100.0
20.335,0,1,101.01204819277109,100.0
20.418,0,1,101.01204819277109,100.0
28.969,0,1,0.9804701204537482,0.9804701204537482
29.052,0,1,101.01204819277109,100.0
29.135,0,1,101.01204819277109,100.0
29.218,0,1,101.01204819277109,100.0
29.301,0,1,101.01204819277109,100.0
29.384,0,1,101.01204819277109,100.0
29.467,0,1,101.01204819277109,100.0
29.55,0,1,101.01204819277109,100.0
29.633,0,1,101.01204819277109,100.0
29.716,0,1,101.01204819277109,100.0
29.799,0,1,101.01204819277109,100.0
29.882,0,1,101.01204819277109,100.0
29.965,0,1,101.01204819277109,100.0
30.048,0,1,101.01204819277109,100.0
30.131,0,1,101.01204819277109,100.0
30.214,0,1,101.01204819277109,100.0
30.297,0,1,101.01204819277109,100.0
30.38,0,1,101.01204819277109,100.0
30.463,0,1,101.01204819277109,100.0
30.546,0,1,101.01204819277109,100.0
30.629,0,1,101.01204819277109,100.0
30.712,0,1,101.01204819277109,100.0
30.795,0,1,101.01204819277109,100.0
30.878,0,1,101.01204819277109,100.0
30.961,0,1,101.01204819277109,100.0
31.044,0,1,101.01204819277109,100.0
31.127,0,1,101.01204819277109,100.0
31.21,0,1,101.01204819277109,100.0
31.293,0,1,101.01204819277109,100.0
31.376,0,1,101.01204819277109,100.0
31.459,0,1,101.01204819277109,100.0
31.542,0,1,101.01204819277109,100.0
31.625,0,1,101.01204819277109,100.0
31.708,0,1,101.01204819277109,100.0
31.791,0,1,101.01204819277109,100.0
31.874,0,1,101.01204819277109,100.0
31.957,0,1,101.01204819277109,100.0
32.04,0,1,101.01204819277109,100.0
32.123,0,1,101.01204819277109,100.0
32.206,0,1,101.01204819277109,100.0
32.289,0,1,101.01204819277109,100.0
32.372,0,1,101.01204819277109,100.0
32.455,0,1,101.01204819277109,100.0
32.538,0,1,101.01204819277109,100.0
32.621,0,1,101.01204819277109,100.0
32.704,0,1,101.01204819277109,100.0
32.787,0,1,101.01204819277109,100.0
32.87,0,1,101.01204819277109,100.0
32.953,0,1,101.01204819277109,100.0
33.036,0,1,101.01204819277109,100.0
33.119,0,1,101.01204819277109,100.0
33.202,0,1,101.01204819277109,100.0
33.285,0,1,101.01204819277109,100.0
33.368,0,1,101.01204819277109,100.0
33.451,0,1,101.01204819277109,100.0
33.534,0,1,101.01204819277109,100.0
33.617,0,1,101.01204819277109,100.0
33.7,0,1,101.01204819277109,100.0
33.783,0,1,101.01204819277109,100.0
33.866,0,1,101.01204819277109,100.0
33.949,0,1,101.01204819277109,100.0
34.032,0,1,101.01204819277109,100.0
34.115,0,1,101.01204819277109,100.0
34.198,0,1,101.01204819277109,100.0
34.281,0,1,101.01204819277109,100.0
34.364,0,1,101.01204819277109,100.0
34.447,0,1,101.01204819277109,100.0
34.53,0,1,101.01204819277109,100.0
34.613,0,1,101.01204819277109,100.0
34.696,0,1,101.01204819277109,100.0
34.779,0,1,101.01204819277109,100.0
34.862,0,1,101.01204819277109,100.0
34.945,0,1,101.01204819277109,100.0
35.028,0,1,101.01204819277109,100.0
35.111,0,1,101.01204819277109,100.0
35.194,0,1,101.01204819277109,100.0
35.277,0,1,101.01204819277109,100.0
35.36,0,1,101.01204819277109,100.0
35.443,0,1,101.01204819277109,100.0
